pl_rade,pl_bmasse,pl_dens,pl_orbsmax,log_pl_rade,log_pl_bmasse,log_pl_dens,log_pl_orbsmax,planet_class,planet_class_name
12.2,4914.89848585,14.9,1.178,1.0863598306747482,3.6915145521802657,1.173186268412274,0.07114529045108281,2,Massive Dense Giants
12.3,4684.8142,13.8,1.53,1.089905111439398,3.67069237142127,1.1398790864012365,0.1846914308175988,2,Massive Dense Giants
13.1,1131.15130051,2.76,0.775,1.1172712956557642,3.0535206991622865,0.4409090820652177,-0.1106982974936897,2,Massive Dense Giants
12.5,2828.6728223,7.96,2.839,1.0969100130080565,3.4515827178045053,0.900913067737669,0.4531653925258572,2,Massive Dense Giants
13.5,565.7374,1.26,1.66,1.130333768495006,2.7526148902071315,0.10037054511756291,0.22010808804005508,2,Massive Dense Giants
12.9,1373.01871824,3.51,1.45,1.110589710299249,3.137676457974505,0.5453071164658241,0.16136800223497488,2,Massive Dense Giants
12.5,2926.24614325,8.23,2.476,1.0969100130080565,3.466310854311226,0.9153998352122699,0.3937506403480804,2,Massive Dense Giants
18.647,3000.0,2.54,330.0,1.270608970823178,3.4771212547196626,0.40483371661993806,2.5185139398778875,2,Massive Dense Giants
13.9,280.64248338,0.574,0.194,1.1430148002540952,2.448153414735614,-0.2410881076020265,-0.712198270069774,0,Low-Density Giants
13.4,632.46,1.44,1.333,1.1271047983648077,2.8010330637156744,0.15836249209524964,0.1248301494138592,2,Massive Dense Giants
13.9,273.32,0.559,2.08,1.1430148002540952,2.4366714120506496,-0.25258819211357664,0.31806333496276157,0,Low-Density Giants
13.0,1271.313628,3.18,118.0,1.1139433523068367,3.104252702487555,0.5024271199844327,2.0718820073061255,2,Massive Dense Giants
12.3,4131.79,12.2,84.0,1.089905111439398,3.616138240205074,1.0863598306747482,1.9242792860618816,2,Massive Dense Giants
11.209,7786.5,30.4,52.0,1.0495668691646514,3.8913422879345303,1.4828735836087537,1.7160033436347992,2,Massive Dense Giants
16.14096,4417.837,5.77,156.0,1.2079293612599011,3.6452096881523324,0.7611758131557314,2.1931245983544616,2,Massive Dense Giants
17.37392009,3616.88727166,3.79,1950.0,1.2398978196777242,3.558334973218645,0.5786392099680724,3.290034611362518,2,Massive Dense Giants
12.2,5720.911326,17.3,572.0,1.0863598306747482,3.7574652162628985,1.2380461031287955,2.7573960287930244,2,Massive Dense Giants
12.6,2383.6,6.55,15.0,1.100370545117563,3.377233376752749,0.8162412999917831,1.1760912590556813,2,Massive Dense Giants
11.9,8899.195396,29.0,266.0,1.0755469613925308,3.949350742501812,1.462397997898956,2.424881636631067,2,Massive Dense Giants
12.1,6356.56814,19.7,587.0,1.08278537031645,3.8032227068235738,1.294466226161593,2.7686381012476144,2,Massive Dense Giants
15.69257298,1652.7077164,2.35,46.0,1.195694157060686,3.218196054794392,0.37106786227173627,1.662757831681574,2,Massive Dense Giants
13.4,603.877,1.38,0.92,1.1271047983648077,2.7809484888510663,0.13987908640123647,-0.036212172654444715,0,Low-Density Giants
12.4,3813.940884,11.0,7493.0,1.0934216851622351,3.5813739572072176,1.0413926851582251,3.874655732598101,2,Massive Dense Giants
12.3,3972.875,11.7,230.0,1.089905111439398,3.5991049009062936,1.0681858617461617,2.361727836017593,2,Massive Dense Giants
11.9,9534.85221,31.1,518.0,1.0755469613925308,3.979313965879255,1.4927603890268375,2.714329759745233,2,Massive Dense Giants
12.6,2511.48007211,6.9,0.877,1.100370545117563,3.3999297365043284,0.8388490907372553,-0.05700040663395948,2,Massive Dense Giants
13.2,804.08,1.92,2.1,1.1205739312058498,2.9052992599799583,0.28330122870354957,0.3222192947339193,2,Massive Dense Giants
14.2,171.621,0.329,3.6,1.1522883443830565,2.2345704281870007,-0.48280410205002566,0.5563025007672873,0,Low-Density Giants
13.5,521.22,1.16,11.6,1.130333768495006,2.7170210718966303,0.06445798922691845,1.0644579892269184,2,Massive Dense Giants
2.84,3464.3296363,2.53,10.4,0.45331834004703764,3.5396192091002163,0.40312052117581787,1.0170333392987803,2,Massive Dense Giants
14.3,146.2018,0.275,0.0527,1.1553360374650619,2.1649527195798113,-0.5606673061697374,-1.2781893847874535,0,Low-Density Giants
1.69,3.5,3.98,0.044,0.22788670461367352,0.5440680443502757,0.5998830720736879,-1.3565473235138126,1,Small Dense Planets
2.16,5.3,2.89,0.13,0.3344537511509309,0.724275869600789,0.4608978427565479,-0.8860566476931632,3,Intermediate Low-Density Planets
13.9,263.9785,0.54,0.118,1.1430148002540952,2.4215685567501537,-0.26760624017703144,-0.9281179926938746,0,Low-Density Giants
8.51,54.4738,0.486,0.247,0.9299295600845878,1.7361876719771556,-0.3133637307377066,-0.6073030467403343,0,Low-Density Giants
13.0,1232.493,3.08,5.6,1.1139433523068367,3.090784461361027,0.4885507165004443,0.7481880270062004,2,Massive Dense Giants
1.875,7.99,6.66,0.01544,0.27300127206373764,0.9025467793139914,0.8234742291703011,-1.8113527040002826,1,Small Dense Planets
7.59,44.812,0.563,0.802,0.8802417758954804,1.6513943273002463,-0.24949160514865382,-0.09582563171583647,0,Low-Density Giants
13.4,597.83523357,1.37,2.028,1.1271047983648077,2.7765815067121506,0.1367205671564068,0.3070679506612984,2,Massive Dense Giants
2.11,5.1,2.98,0.050201,0.3242824552976926,0.7075701760979364,0.4742162640762552,-1.2992876316566475,3,Intermediate Low-Density Planets
4.46,18.2,1.13,0.2175,0.6493348587121419,1.2600713879850747,0.05307844348341968,-0.6625407387093438,3,Intermediate Low-Density Planets
5.11,22.9,0.943,0.476,0.7084209001347127,1.359835482339888,-0.02548830726267165,-0.32239304727950685,3,Intermediate Low-Density Planets
13.4,587.9855,1.34,1.758,1.1271047983648077,2.769366616301251,0.12710479836480765,0.24501887073775308,2,Massive Dense Giants
13.9,276.5121,0.566,2.153,1.1430148002540952,2.4417141405168556,-0.24718356881172862,0.3330440298234872,0,Low-Density Giants
12.6,2380.45,6.54,0.481,1.100370545117563,3.3766590637974456,0.8155777483242672,-0.31785492362616824,2,Massive Dense Giants
13.3,787.89662095,1.84,1.912,1.1238516409670858,2.8964692379257606,0.2648178230095365,0.2814878879400812,2,Massive Dense Giants
13.9,289.85950718,0.593,3.929,1.1430148002540952,2.4621875494820156,-0.22694530663573742,0.5942820288118061,0,Low-Density Giants
13.5,524.41687155,1.17,0.462,1.130333768495006,2.719676655373499,0.06818586174616162,-0.33535802444387447,0,Low-Density Giants
13.1,1051.05854195,2.57,2.104,1.1172712956557642,3.021626906073709,0.4099331233312945,0.32304573548170146,2,Massive Dense Giants
13.1,1017.0,2.49,0.7,1.1172712956557642,3.0073209529227447,0.3961993470957364,-0.1549019599857432,2,Massive Dense Giants
12.5,2860.455663,8.05,93.9,1.0969100130080565,3.4564352205989173,0.9057958803678685,1.972665592266111,2,Massive Dense Giants
12.3,4290.5,12.7,260.0,1.089905111439398,3.6325079063077235,1.1038037209559568,2.4149733479708178,2,Massive Dense Giants
13.0,1147.36054927,2.87,8.996,1.1139433523068367,3.0596999130652507,0.4578818967339923,0.9540494467635946,2,Massive Dense Giants
13.6,425.89006538,0.93,4.01,1.1335389083702174,2.6292975095244002,-0.03151705144606486,0.6031443726201823,2,Massive Dense Giants
4.79,8.99,0.49,0.07,0.6803355134145632,0.9537596917332288,-0.3098039199714863,-1.154901959985743,3,Intermediate Low-Density Planets
2.79,14.46,3.9,0.119,0.44560420327359757,1.160168292958512,0.5910646070264992,-0.9244530386074693,3,Intermediate Low-Density Planets
1.02,1.053,5.45,0.10233,0.00860017176191757,0.022428371185486493,0.7363965022766424,-0.9899970258729404,1,Small Dense Planets
4.87,21.1,1.0,0.10233,0.6875289612146344,1.3242824552976926,0.0,-0.9899970258729404,3,Intermediate Low-Density Planets
12.7,2034.112,5.46,1.3,1.1038037209559568,3.3083748618821245,0.7371926427047373,0.11394335230683679,2,Massive Dense Giants
2.84,6.2,2.53,0.0208,0.45331834004703764,0.7923916894982539,0.40312052117581787,-1.6819366650372385,3,Intermediate Low-Density Planets
13.8,330.5432,0.691,0.78,1.1398790864012365,2.5192282271970177,-0.16052195262580163,-0.10790539730951958,0,Low-Density Giants
13.8,337.21763,0.705,0.576,1.1398790864012365,2.527910271799578,-0.15181088300860132,-0.239577516576788,0,Low-Density Giants
13.7,352.78,0.754,0.539,1.1367205671564067,2.5475039558933252,-0.12262865413022594,-0.2684112348132613,0,Low-Density Giants
12.1,6807.63,21.1,1.45,1.08278537031645,3.8329959434741503,1.3242824552976926,0.16136800223497488,2,Massive Dense Giants
12.4,3963.17,11.4,2.01,1.0934216851622351,3.598042701776136,1.0569048513364727,0.30319605742048883,2,Massive Dense Giants
13.0,1334.886,3.34,1.3,1.1139433523068367,3.1254441782961377,0.5237464668115644,0.11394335230683679,2,Massive Dense Giants
2.57807,22.2481,7.89,0.241,0.4112947051822443,1.347292927912494,0.8970770032094203,-0.6179829574251317,3,Intermediate Low-Density Planets
12.4,3368.9811142,9.71,4.65,1.0934216851622351,3.527498576424363,0.9872192299080049,0.667452952889954,2,Massive Dense Giants
14.2,174.80562385,0.335,0.54,1.1522883443830565,2.2425554006538366,-0.47495519296315475,-0.26760624017703144,0,Low-Density Giants
